Timestamp,SF_Level,Game_No,Color,Result,Win,Draw,Loss
2025-12-10 06:14:39,3,40,Black,-1,0,0,1
2025-12-10 06:16:14,3,41,White,1,1,0,0
2025-12-10 06:18:09,3,42,Black,1,1,0,0
2025-12-10 06:19:50,3,43,White,1,1,0,0
2025-12-10 06:23:09,3,44,Black,1,1,0,0
2025-12-10 06:25:07,3,45,White,1,1,0,0
2025-12-10 06:26:57,3,46,Black,1,1,0,0
2025-12-10 06:28:38,3,47,White,1,1,0,0
2025-12-10 06:30:05,3,48,Black,1,1,0,0
2025-12-10 06:31:35,3,49,White,1,1,0,0
2025-12-10 06:33:38,3,50,Black,1,1,0,0
2025-12-10 06:35:58,4,1,White,1,1,0,0
2025-12-10 06:38:29,4,2,Black,1,1,0,0
2025-12-10 06:40:05,4,3,White,1,1,0,0
2025-12-10 06:43:16,4,4,Black,1,1,0,0
2025-12-10 06:45:53,4,5,White,1,1,0,0
2025-12-10 06:47:31,4,6,Black,-1,0,0,1
2025-12-10 06:50:58,4,7,White,1,1,0,0
2025-12-10 06:52:57,4,8,Black,1,1,0,0
2025-12-10 06:53:59,4,9,White,1,1,0,0
2025-12-10 06:55:06,4,10,Black,1,1,0,0
2025-12-10 06:56:59,4,11,White,0,0,1,0
2025-12-10 06:59:43,4,12,Black,1,1,0,0
2025-12-10 07:03:03,4,13,White,-1,0,0,1
2025-12-10 07:05:28,4,14,Black,0,0,1,0
2025-12-10 07:07:31,4,15,White,1,1,0,0
2025-12-10 07:09:16,4,16,Black,0,0,1,0
2025-12-10 07:10:45,4,17,White,0,0,1,0
2025-12-10 07:12:18,4,18,Black,-1,0,0,1
2025-12-10 07:15:23,4,19,White,1,1,0,0
2025-12-10 07:18:17,4,20,Black,1,1,0,0
2025-12-10 07:21:54,4,21,White,-1,0,0,1
2025-12-10 07:24:22,4,22,Black,1,1,0,0
2025-12-10 07:26:22,4,23,White,1,1,0,0
2025-12-10 07:30:37,4,24,Black,0,0,1,0
2025-12-10 07:34:48,4,25,White,0,0,1,0
2025-12-10 07:38:13,4,26,Black,1,1,0,0
2025-12-10 07:40:27,4,27,White,1,1,0,0
2025-12-10 07:42:03,4,28,Black,1,1,0,0
2025-12-10 07:43:52,4,29,White,1,1,0,0
2025-12-10 07:46:21,4,30,Black,1,1,0,0
2025-12-10 07:49:08,4,31,White,-1,0,0,1
2025-12-10 07:51:55,4,32,Black,1,1,0,0
2025-12-10 07:55:16,4,33,White,-1,0,0,1
2025-12-10 07:57:40,4,34,Black,1,1,0,0
2025-12-10 08:01:19,4,35,White,0,0,1,0
2025-12-10 08:05:52,4,36,Black,-1,0,0,1
2025-12-10 08:09:07,4,37,White,1,1,0,0
2025-12-10 08:11:32,4,38,Black,0,0,1,0
2025-12-10 08:15:05,4,39,White,-1,0,0,1
2025-12-10 08:16:57,4,40,Black,1,1,0,0
2025-12-10 08:19:49,4,41,White,0,0,1,0
2025-12-10 08:23:46,4,42,Black,1,1,0,0
2025-12-10 08:24:29,4,43,White,-1,0,0,1
2025-12-10 08:26:35,4,44,Black,1,1,0,0
2025-12-10 08:28:40,4,45,White,0,0,1,0
2025-12-10 08:31:11,4,46,Black,0,0,1,0
2025-12-10 08:32:41,4,47,White,1,1,0,0
2025-12-10 08:35:39,4,48,Black,0,0,1,0
2025-12-10 08:37:15,4,49,White,1,1,0,0
2025-12-10 08:38:39,4,50,Black,1,1,0,0
2025-12-10 08:42:04,5,1,White,0,0,1,0
2025-12-10 08:44:01,5,2,Black,0,0,1,0
2025-12-10 08:47:07,5,3,White,0,0,1,0
2025-12-10 08:48:49,5,4,Black,-1,0,0,1
2025-12-10 08:51:42,5,5,White,1,1,0,0
2025-12-10 08:53:51,5,6,Black,1,1,0,0
2025-12-10 08:56:22,5,7,White,1,1,0,0
2025-12-10 09:01:42,5,8,Black,-1,0,0,1
2025-12-10 09:06:39,5,9,White,-1,0,0,1
2025-12-10 09:09:34,5,10,Black,1,1,0,0
2025-12-10 09:11:46,5,11,White,1,1,0,0
2025-12-10 09:13:46,5,12,Black,1,1,0,0
2025-12-10 09:16:49,5,13,White,-1,0,0,1
2025-12-10 09:21:36,5,14,Black,0,0,1,0
2025-12-10 09:25:19,5,15,White,0,0,1,0
2025-12-10 09:27:33,5,16,Black,0,0,1,0
2025-12-10 09:30:41,5,17,White,1,1,0,0
2025-12-10 09:32:02,5,18,Black,1,1,0,0
2025-12-10 09:33:50,5,19,White,1,1,0,0
2025-12-10 09:37:12,5,20,Black,1,1,0,0
2025-12-10 09:41:17,5,21,White,-1,0,0,1
2025-12-10 09:43:56,5,22,Black,1,1,0,0
2025-12-10 09:46:42,5,23,White,0,0,1,0
2025-12-10 09:49:17,5,24,Black,0,0,1,0
2025-12-10 09:53:12,5,25,White,-1,0,0,1
2025-12-10 09:56:13,5,26,Black,0,0,1,0
